sep=;
Number;Time 80Se;80Se;Time 117Sn;117Sn;Time 122Sn;122Sn;Time 124Sn;124Sn;Time 121Sb;121Sb;Time 125Te;125Te
704;132.07;477442.739517854;132.102;22013.8026542642;132.164;11837.3254713485;132.196;17775.6673758424;132.133;116753.875055595;132.227;4267.18555643033
705;132.258;467069.032384151;132.289;24116.5644623009;132.352;13004.8182851747;132.383;19811.1794485628;132.321;137738.585416696;132.415;4100.47914098762
706;132.446;427683.584595752;132.477;19143.7724324407;132.54;11070.1581945612;132.571;17742.3002919009;132.508;110446.564753211;132.603;8168.56790084559
707;132.634;493785.89649047;132.665;18376.2857334338;132.728;12471.0976476609;132.759;14639.4387112479;132.696;112459.29056446;132.79;4367.21016597182
708;132.821;363902.030029411;132.853;21846.9275840225;132.916;10703.2639603447;132.947;13371.7606388821;132.884;115210.388131089;132.978;3867.09282029546
709;133.009;328445.975128746;133.041;9369.1677660018;133.103;15106.501082741;133.135;17175.0695694535;133.072;156091.312815328;133.166;5100.74139276144
710;133.197;472443.431993271;133.229;18776.7093896837;133.291;11603.8362282571;133.322;14205.7490666473;133.26;152089.729793663;133.354;2933.57858050266
711;133.385;460601.368292366;133.416;18142.7094855955;133.479;9102.36069724683;133.51;15273.3120847547;133.448;91002.0753853773;133.542;2933.57858050266
712;133.573;437282.576830594;133.604;17108.3377484017;133.667;11537.1255865136;133.698;14272.4698529089;133.635;122996.311231244;133.729;3533.68917583334
713;133.76;334899.608188995;133.792;16074.0269636133;133.855;10102.9081221029;133.886;12838.0288423824;133.823;101392.146260628;133.917;4300.52702958748
714;133.948;435471.693732461;133.98;15206.5874937023;134.042;11603.8362282571;134.074;15807.1179452107;134.011;124439.770147702;134.105;4367.21016597182
715;134.136;345060.35299462;134.167;13838.7892760054;134.23;10202.9660022168;134.262;13671.9919075146;134.199;90063.9194831902;134.293;3900.43353318721
716;134.324;346114.141657631;134.355;14305.8303411555;134.418;9269.11463984305;134.449;14672.7998970236;134.387;110782.003070698;134.481;5267.4573120092
717;134.512;499374.108880832;134.543;18376.2857334338;134.606;8902.25805775635;134.637;11803.9696750017;134.575;74256.8192637622;134.669;4667.28741589298
718;134.7;355737.111116667;134.731;12671.2409846621;134.794;10569.849776927;134.825;11336.9951827774;134.762;89661.8679855483;134.856;3767.07106174515
719;134.887;431713.846268366;134.919;14038.9482106702;134.982;6434.51310131046;135.013;11937.3932407745;134.95;71645.996629632;135.044;5167.42757037641
720;135.075;363799.945325604;135.107;10236.3187556984;135.169;7034.74344765742;135.201;12004.1054040482;135.138;60838.6389334633;135.232;4133.82029736436
721;135.263;452357.653448862;135.295;14839.6067770984;135.357;8335.31297016375;135.389;13038.1763639437;135.326;66860.4953093622;135.42;4934.02705753762
722;135.451;374862.54071602;135.482;14139.0285340268;135.545;6901.35715188392;135.576;9302.46561851219;135.514;74390.7180559885;135.608;4100.47914098762
723;135.639;373466.571221467;135.67;12671.2409846621;135.733;9135.71135900008;135.764;10336.3773964766;135.701;93280.6623455094;135.795;4367.21016597182
724;135.826;406659.093231149;135.858;12170.8869217068;135.921;9169.06208413615;135.952;9802.73790469678;135.889;67730.4895611886;135.983;5200.77075422578
725;136.014;311100.760142138;136.046;8468.71016642983;136.108;6801.3180954469;136.14;11203.5761815171;136.077;83699.1831310561;136.171;6734.6257080067
726;136.202;362540.948983349;136.234;10936.7412218981;136.296;6834.66438422216;136.328;10403.0834739417;136.265;52277.77364385;136.359;4567.26109569827
727;136.39;324337.255371754;136.421;10769.9714324007;136.484;9302.46561851219;136.516;11036.8038563059;136.453;68968.6325482348;136.547;3400.32949192777
728;136.578;387703.80399982;136.609;13938.868457998;136.672;7401.56098921262;136.703;8935.6083392165;136.641;101056.886887274;136.735;3133.61316498897
729;136.766;379459.802480761;136.797;9069.01009887622;136.86;6401.16757296531;136.891;7835.08251550492;136.829;56256.7196105833;136.923;4267.18555643033
730;136.953;439708.766182197;136.985;10269.6715725688;137.048;6601.24169356256;137.079;8468.71016642983;137.016;70876.2126904961;137.11;5067.39839899548
731;137.141;448596.232736911;137.173;10536.4963895495;137.236;6001.02617547601;137.267;7301.51908104481;137.204;68031.6514503041;137.298;2166.80046659548
732;137.329;258456.539653091;137.361;7534.95108733178;137.423;7301.51908104481;137.455;8168.56790084559;137.392;59366.9433707141;137.486;4000.45605198993
733;137.517;407000.201139702;137.549;9435.87016702774;137.611;6101.06066939738;137.643;6834.66438422216;137.58;67563.1796301055;137.674;3867.09282029546
734;137.705;406795.535607828;137.736;9235.76372455745;137.799;6167.7506488432;137.83;7668.34219943724;137.768;40814.0865130819;137.862;4767.31430631518
735;137.893;431782.163671355;137.924;9435.87016702774;137.987;6601.24169356256;138.018;7434.90841868183;137.956;65254.4651970787;138.05;4000.45605198993
736;138.08;363221.476442258;138.112;5967.68147090079;138.175;4133.82029736436;138.206;7701.69013590032;138.143;55454.1705751257;138.237;4133.82029736436
737;138.268;343972.636890902;138.3;9235.76372455745;138.362;5867.64773736836;138.394;8768.85756572947;138.331;61340.3815001082;138.425;2800.22345783193
738;138.456;368326.26532577;138.488;9435.87016702774;138.55;4900.68438057375;138.582;6667.93357404574;138.519;57460.6118940829;138.613;4433.89355578411
739;138.644;294416.521260905;138.675;9069.01009887622;138.738;6534.55006655573;138.769;8035.17298618852;138.707;68332.8184993171;138.801;3700.39020614724
740;138.832;297670.74741158;138.863;7801.73432554057;138.926;5900.99225184715;138.957;7034.74344765742;138.894;69838.7311474879;138.989;2866.90089246958
741;139.019;387294.920228772;139.051;7968.47590912183;139.114;6501.20434810549;139.145;6434.51310131046;139.082;47430.6957343733;139.176;4300.52702958748
742;139.207;342918.975597215;139.239;7134.78383488697;139.301;5667.58198115662;139.333;7401.56098921262;139.27;62845.6951516951;139.364;3633.70960396282
743;139.395;323250.811192511;139.427;6401.16757296531;139.489;3933.77430943342;139.521;7168.13075737386;139.458;45826.4403841818;139.552;4233.84414662963
744;139.583;331434.733855385;139.615;8135.21907711541;139.677;3767.07106174515;139.709;7068.09018002892;139.646;50138.2088769131;139.74;4200.50280018518
745;139.771;324778.642362701;139.802;6267.78609326292;139.865;4900.68438057375;139.896;6434.51310131046;139.834;44924.1111275655;139.928;4934.02705753762
746;139.959;365535.465250815;139.99;6767.9718700418;140.053;4367.21016597182;140.084;5934.33682969123;140.022;47731.5099228969;140.116;5434.17481530348
747;140.146;421298.517323713;140.178;8435.36077229495;140.241;3233.63131245878;140.272;4934.02705753762;140.209;52846.1393333031;140.303;2800.22345783193
748;140.334;326646.170620359;140.366;6734.6257080067;140.428;4667.28741589298;140.46;5200.77075422578;140.397;40312.9297848878;140.491;3533.68917583334
749;140.522;380617.819275543;140.554;6334.47670637884;140.616;4433.89355578411;140.648;7001.39677865734;140.585;51843.1534631285;140.679;3233.63131245878
750;140.71;299026.851653182;140.741;5800.95889850592;140.804;4833.99921672544;140.835;6334.47670637884;140.773;52144.0432123895;140.867;3033.59558767189
751;140.898;287130.581503951;140.929;6767.9718700418;140.992;3433.66931787609;141.023;5967.68147090079;140.961;47798.3582198556;141.055;4333.86856610125
752;141.085;330551.639003155;141.117;7301.51908104481;141.18;4000.45605198993;141.211;5634.23791022982;141.148;41382.0814252523;141.242;4867.34176696975
753;141.273;369381.438343565;141.305;6101.06066939738;141.368;4100.47914098762;141.399;4567.26109569827;141.336;37339.6939616659;141.43;5400.83118791982
754;141.461;346930.021090827;141.493;6001.02617547601;141.555;3833.75217075799;141.587;5767.61457412192;141.524;41515.7299563291;141.618;3833.75217075799
755;141.649;344516.486594951;141.681;4667.28741589298;141.743;4000.45605198993;141.775;4633.94524580304;141.712;46829.0828096896;141.806;2433.50209670374
756;141.837;278222.092624909;141.868;5800.95889850592;141.931;3100.27390919988;141.962;3800.41158457461;141.9;35869.9655356366;141.994;3133.61316498897
